date,filtered_mean,filtered_variance,smoothed_mean,smoothed_variance,simple_return
2017-07-11,3.0945832133316296e-4,3.931142812743355e-5,2.987212546913851e-4,1.60377582254247e-5,3.095062084990108e-4
2017-07-12,-1.6756937571343352e-4,3.931142812743355e-5,-7.634189739762953e-5,1.60377582254247e-5,-1.6755533674972511e-4
2017-07-13,-9.485723009546599e-5,3.931142812743355e-5,-2.620361213583316e-4,1.60377582254247e-5,-9.485273129061778e-5
2017-07-14,6.541778158990722e-4,3.931142812743355e-5,6.288829661793933e-4,1.60377582254247e-5,6.543918368731028e-4
2017-07-17,-3.322197479709555e-4,3.931142812743355e-5,-1.521574291875894e-4,1.60377582254247e-5,-3.3216456910112324e-4
2017-07-18,-1.5553273167371608e-4,3.931142812743355e-5,-5.166538104868112e-4,1.60377582254247e-5,-1.5552063708546005e-4
2017-07-19,0.0015389512195532657,3.931142812743355e-5,0.0013401799448999208,1.60377582254247e-5,0.001540136012682991
2017-07-20,-1.2160670380631798e-4,3.931142812743355e-5,1.3669764040777886e-4,1.60377582254247e-5,-1.2159931001087809e-4
2017-07-21,-0.0012448487915942687,3.931142812743355e-5,-8.724690983638052e-4,1.60377582254247e-5,-0.0012440742887502854
2017-07-24,-5.071078484613824e-4,3.931142812743355e-5,-8.621242164228891e-4,1.60377582254247e-5,-5.069792910081805e-4
2017-07-25,0.0013038932537102975,3.931142812743355e-5,0.0014485555268426253,1.60377582254247e-5,0.0013047436921056477
2017-07-26,-8.548101978671034e-4,3.931142812743355e-5,-9.961674619377982e-4,1.60377582254247e-5,-8.544449517093877e-4
2017-07-27,5.554302136778616e-4,3.931142812743355e-5,8.182988722393068e-4,1.60377582254247e-5,5.555844936016019e-4
2017-07-28,-0.0011445549666042082,3.931142812743355e-5,-0.001139137730833393,1.60377582254247e-5,-0.0011439002133926124
2017-07-31,5.62178899769672e-4,3.931142812743355e-5,4.0416519145157844e-4,1.60377582254247e-5,5.623369519438537e-4
2017-08-01,7.581784465352972e-4,3.931142812743355e-5,3.5327170467452186e-4,1.60377582254247e-5,7.584659364652246e-4
2017-08-02,7.824728432745331e-4,3.931142812743355e-5,0.0011576894592179906,1.60377582254247e-5,7.827790550121172e-4
2017-08-03,-0.0013750201207850033,3.931142812743355e-5,-0.0016221695763515489,1.60377582254247e-5,-0.0013740752137570977
2017-08-04,0.0014228746888299173,3.931142812743355e-5,0.0013864973621772652,1.60377582254247e-5,0.001423887455309636
2017-08-08,-4.256521946380846e-4,3.931142812743355e-5,-3.9715905056739555e-4,1.60377582254247e-5,-4.255616175945498e-4
2017-08-09,-4.932921212186608e-4,3.931142812743355e-5,5.6258899781926175e-5,1.60377582254247e-5,-4.931704726638397e-4
2017-08-10,-0.002116979775365012,3.931142812743355e-5,-0.0017694321628380807,1.60377582254247e-5,-0.0021147405540877795
2017-08-11,-5.31119842193525e-5,3.931142812743355e-5,-4.5129642301127294e-4,1.60377582254247e-5,-5.311057380286144e-5
