date,filtered_mean,filtered_variance,simple_return
2018-03-08,5.583266875910974e-4,4.830629276170021e-10,5.584825809479277e-4
2018-03-09,6.722519496466552e-4,4.1097528976339214e-10,6.724779616313903e-4
2018-03-12,6.160131126213371e-4,5.05670779933876e-10,6.162028876648407e-4
2018-03-13,7.130228543889126e-4,6.232819422074169e-10,7.132771156121986e-4
2018-03-14,4.6547388977537935e-4,4.794508913851802e-10,4.655822395571718e-4
2018-03-15,4.552049820678967e-4,4.4613086182204246e-10,4.5530860357811953e-4
2018-03-16,6.400530353205866e-4,4.976398029525757e-10,6.402579129731745e-4
2018-03-19,-2.442601933003225e-4,7.624430126533781e-10,-2.4423036420806454e-4
2018-03-20,2.700026020071039e-4,6.159903012528598e-10,2.700390559904342e-4
2018-03-21,6.91072409630032e-4,5.767913244091593e-10,6.913112551842904e-4
2018-03-22,-1.1057218444169333e-4,8.807860719716226e-10,-1.105660715630119e-4
2018-03-23,-5.917678796861315e-4,1.2996226229503196e-9,-5.915928196077447e-4
2018-03-26,4.5164128684752904e-4,7.635341828809502e-10,4.5174329212960274e-4
2018-03-27,-2.362645627565367e-4,5.731961793396909e-10,-2.3623665448269104e-4
2018-03-28,-3.245310009866223e-4,4.09377358376822e-10,-3.244783464975143e-4
2018-03-29,6.91838717831606e-4,1.1071699899514263e-9,6.920780934371873e-4
2018-04-02,-2.510135194236106e-4,8.786015331018235e-10,-2.509820181659794e-4
2018-04-03,-2.2995069216843393e-4,7.467940526513225e-10,-2.2992425553447493e-4
2018-04-04,-8.57006394656192e-5,4.772303989355803e-10,-8.569696727067644e-5
2018-04-05,8.041948531124074e-4,8.528120892782873e-10,8.045183044933513e-4
2018-04-06,-2.034337072589833e-4,7.327998468043303e-10,-2.0341301602544437e-4
2018-04-09,2.3103319873565592e-4,6.616806214022966e-10,2.3105988896054974e-4
2018-04-10,5.116502723960274e-4,5.785101401436173e-10,5.117811877233258e-4
2018-04-11,3.016324868931182e-4,4.5646923152977915e-10,3.016779825459892e-4
2018-04-12,3.519556604351027e-4,6.100412879227413e-10,3.520176040954226e-4
2018-04-13,3.141560438459018e-4,5.666628140526233e-10,3.142053960238922e-4
2018-04-16,4.818371124391955e-4,5.609949120677372e-10,4.8195321458743834e-4
2018-04-17,7.451648533985268e-4,4.961066404527403e-10,7.454425577020363e-4
2018-04-18,0.0011896560438919932,8.219604674528778e-10,0.0011903639653432219
2018-04-19,9.907524604759496e-5,8.617668647290035e-10,9.908015416182359e-5
2018-04-20,4.22992047566418e-4,5.397806141456256e-10,4.2308152131775856e-4
2018-04-23,7.980649636192633e-4,4.386446212898406e-10,7.983835021949659e-4
2018-04-24,-5.989936438714316e-5,6.123383378507751e-10,-5.98975704559912e-5
2018-04-25,3.8462641150111324e-4,4.990423165327915e-10,3.8470038972371334e-4
2018-04-26,0.0010040815947744757,6.017163360223907e-10,0.001004585853457085
2018-04-27,7.763948928331265e-4,6.880256156968053e-10,7.766963653634829e-4
2018-04-30,1.3963579656852331e-5,5.519849219123196e-10,1.3963677148121079e-5
2018-05-01,2.3723469037214564e-4,4.55641231546609e-10,2.3726283274672078e-4
2018-05-02,3.0302754383959525e-4,5.39648054769784e-10,3.03073461323633e-4
2018-05-03,1.9915693003324004e-4,6.81854979290584e-10,1.9917676309133547e-4
2018-05-04,8.815987145746947e-4,1.0461096054289968e-9,8.819874369454528e-4
2018-05-07,0.001051269541667638,7.058176457709141e-10,0.001051822319181328
2018-05-08,8.159380297931446e-4,5.07475858584491e-10,8.162709977816984e-4
2018-05-09,9.518181311818939e-4,5.763671243906758e-10,9.522712538112543e-4
2018-05-10,8.810476633930308e-4,4.2895978297314364e-10,8.814358998954219e-4
2018-05-11,6.666594729619441e-4,3.867641382318058e-10,6.668817397776916e-4
2018-05-14,0.001047237717253578,8.77228177780244e-10,0.0010477862621407485
2018-05-15,6.395508714222356e-4,6.477115134406847e-10,6.397554276864614e-4
2018-05-16,4.6876061816632155e-4,5.765359468783704e-10,4.68870503594232e-4
2018-05-17,5.987345797872215e-4,5.160323168876876e-10,5.989138571138586e-4
2018-05-18,5.176026798501642e-4,3.6802394001470284e-10,5.177366592323818e-4
2018-05-22,2.013759281808727e-4,5.443623104337511e-10,2.0139620567416472e-4
2018-05-23,1.3315358801723866e-4,5.837375769252852e-10,1.3316245334982213e-4
2018-05-24,3.751780058965212e-5,5.765996900206178e-10,3.7518504391043095e-5
2018-05-25,-1.297290552438333e-4,4.70519329511767e-10,-1.2972064079386225e-4
2018-05-28,-3.4377763678204905e-4,4.449315925316828e-10,-3.4371855202108836e-4
2018-05-29,-5.901446202549201e-4,8.170035577868301e-10,-5.899705191684257e-4
2018-05-30,5.846570910891602e-4,8.378613342141569e-10,5.848280363593972e-4
2018-05-31,4.660880271148797e-4,5.429063616122613e-10,4.661966630166159e-4
2018-06-01,1.7530142809314816e-4,4.122110616533615e-10,1.7531679428639535e-4
2018-06-04,2.728196106541426e-4,5.642192326438331e-10,2.728568293086653e-4
2018-06-05,7.4658378918156e-4,4.104914536293451e-10,7.468625522277783e-4
2018-06-06,8.860304059200741e-4,6.226052624848685e-10,8.86423046815521e-4
2018-06-07,5.477192526848853e-4,5.115191270206227e-10,5.478692782641126e-4
2018-06-08,4.282129086845873e-4,2.752224554142318e-10,4.28304604920271e-4
2018-06-11,7.471628477241669e-4,5.674788587736488e-10,7.474420434152584e-4
2018-06-12,6.289856625325433e-4,6.825456018056503e-10,6.29183515494347e-4
2018-06-13,2.0042741351448273e-4,6.369028664927159e-10,2.0044750043046733e-4
2018-06-14,6.723292366535957e-4,4.760316675454402e-10,6.72555300615052e-4
2018-06-15,2.844145744908941e-4,5.460182629729217e-10,2.8445502415075374e-4
2018-06-18,7.38483474152126e-4,6.78515689786386e-10,7.387562202083586e-4
2018-06-19,-2.8872577787060916e-5,9.713852499235272e-10,-2.8872160978243855e-5
2018-06-20,7.624339904803244e-4,8.698180913886111e-10,7.627247171571039e-4
2018-06-21,-9.770932607291132e-5,7.88562051511801e-10,-9.770455267221756e-5
2018-06-22,7.633635336790458e-4,1.0389263999215646e-9,7.636549697738193e-4
2018-06-25,-1.124397519439183e-4,6.363170955975395e-10,-1.1243343083189306e-4
2018-06-26,7.153189488887625e-4,7.520418618542906e-10,7.155748505014436e-4
2018-06-27,5.724198579006839e-5,5.781343601147691e-10,5.7243624143721306e-5
2018-06-28,-2.1596985059000576e-4,4.5717754247655623e-10,-2.1594653078060855e-4
2018-06-29,6.716632625808632e-4,5.500575360377078e-10,6.718888788599386e-4
2018-07-03,2.7854479477200974e-4,4.708151483567534e-10,2.785835919756341e-4
2018-07-04,5.576610451954036e-4,3.3673834480081247e-10,5.578165670241386e-4
2018-07-05,7.141412944284604e-5,4.446281421424862e-10,7.14166794923976e-5
2018-07-06,8.06248991852668e-4,8.930716779517321e-10,8.065740979372737e-4
2018-07-09,0.0010145008645155648,6.0519907097142285e-10,0.0010150156445845049
2018-07-10,0.0011687865878396647,8.529536242669328e-10,0.0011694698850672758
2018-07-11,-2.4797839100969114e-5,9.741754386703229e-10,-2.4797531637088532e-5
2018-07-12,8.583168997396953e-4,7.746564252217089e-10,8.586853591006083e-4
2018-07-13,4.1760806101029526e-4,6.449109485118902e-10,4.176952713961235e-4
2018-07-16,-1.4384800684809785e-4,6.994793805073655e-10,-1.438376612196146e-4
2018-07-17,2.664823177131749e-4,5.939185896921195e-10,2.6651782728026596e-4
2018-07-18,-6.355138381391816e-5,6.918932794999023e-10,-6.354936446750781e-5
2018-07-19,5.725559143284989e-4,4.118898056792055e-10,5.727198557530233e-4
2018-07-20,-2.334517699539467e-4,7.142936618406536e-10,-2.3342452220986853e-4
2018-07-23,-6.931552084355288e-5,5.821936466025631e-10,-6.931311857838462e-5
2018-07-24,-1.2282475899177031e-4,6.14381655463173e-10,-1.2281721633988774e-4
2018-07-25,3.265375368726505e-4,6.11939963476857e-10,3.2659085605746263e-4
2018-07-26,5.301130072968151e-4,6.391517458604205e-10,5.302535420290688e-4
2018-07-27,-7.464778898133985e-5,5.561010810770522e-10,-7.464500290443876e-5
2018-07-30,-2.447087638383804e-4,6.753777311331673e-10,-2.446788250909382e-4
2018-07-31,6.182622306340593e-4,4.4504580035101826e-10,6.184533941213655e-4
2018-08-01,-2.170796590463762e-5,5.794013008957309e-10,-2.1707730288422766e-5
2018-08-02,3.8235799797346515e-4,4.00772197891762e-10,3.824311061102481e-4
2018-08-03,3.705234341975633e-4,4.460358675219687e-10,3.7059208648404507e-4
2018-08-07,-3.6173514630160166e-4,7.765054673371669e-10,-3.616697280318659e-4
2018-08-08,2.2663295361729165e-4,4.3666459188760764e-10,2.266586368053769e-4
2018-08-09,8.611975492293845e-4,6.670515993350004e-10,8.615684863144679e-4
