date,adjusted,volume
2017-02-02,15399.099609375,209702900
2017-02-03,15476.400390625,189442200
2017-02-06,15456.900390625,189735800
2017-02-07,15498.7998046875,217956900
2017-02-08,15554,236404100
2017-02-09,15617.2998046875,204203000
2017-02-10,15729.099609375,220292600
2017-02-13,15756.599609375,177735900
2017-02-14,15786,203943600
2017-02-15,15845,218503900
2017-02-16,15864.2001953125,227255900
2017-02-17,15838.599609375,201416400
2017-02-21,15922.400390625,225803600
2017-02-22,15830.2001953125,219354600
2017-02-23,15781.2001953125,246185700
2017-02-24,15533.5,253962800
2017-02-27,15463.5,431018400
2017-02-28,15399.2001953125,310033800
2017-03-01,15599.7001953125,267459400
2017-03-02,15536.7001953125,232759400
2017-03-03,15608.5,216741700
2017-03-06,15629.7998046875,203871700
2017-03-07,15608.7998046875,209343000
2017-03-08,15497,219321900
2017-03-09,15496.7998046875,234936400
2017-03-10,15506.7001953125,225497900
2017-03-13,15544.7998046875,233150100
2017-03-14,15379.599609375,229413500
2017-03-15,15520.900390625,259678800
2017-03-16,15562.400390625,203344500
2017-03-17,15490.5,498165600
2017-03-20,15442.2998046875,188533500
2017-03-21,15313.099609375,214897700
2017-03-22,15348.5,224717000
2017-03-23,15433.599609375,191565100
2017-03-24,15442.7001953125,167699800
2017-03-27,15506.2001953125,188275700
2017-03-28,15598.599609375,232617000
2017-03-29,15657.599609375,184256000
2017-03-30,15578.7998046875,184165000
2017-03-31,15547.7998046875,226075100
2017-04-03,15584.400390625,208062900
2017-04-04,15669.099609375,180643800
2017-04-05,15643,227717500
2017-04-06,15697.2001953125,180306700
2017-04-07,15667.099609375,214293300
2017-04-10,15730.7998046875,164370600
2017-04-11,15727.099609375,221277700
2017-04-12,15648.400390625,208125600
2017-04-13,15535.5,179648400
2017-04-17,15684.900390625,160815800
2017-04-18,15622.599609375,206884300
2017-04-19,15552.900390625,222195500
2017-04-20,15625.599609375,198428200
2017-04-21,15614.5,177328600
2017-04-24,15712.5,202147700
2017-04-25,15745.2001953125,251930500
2017-04-26,15649.5,235581100
2017-04-27,15506.5,277398200
2017-04-28,15586.099609375,216799900
2017-05-01,15575.599609375,202493500
2017-05-02,15619.7001953125,254795900
2017-05-03,15543.099609375,240566200
2017-05-04,15396.7001953125,275477100
2017-05-05,15582,213120600
2017-05-08,15652.099609375,199934100
2017-05-09,15569.2001953125,209499100
2017-05-10,15633.2001953125,245801500
2017-05-11,15550.599609375,255468800
2017-05-12,15537.900390625,200337600
2017-05-15,15629.5,207388000
2017-05-16,15543.2998046875,211461200
2017-05-17,15273.7001953125,23474800
2017-05-18,15277.2001953125,234164500
2017-05-19,15458.5,209881600
2017-05-23,15476.900390625,225545100
2017-05-24,15419.5,204849000
2017-05-25,15410.7001953125,191402900
2017-05-26,15416.900390625,151789900
2017-05-29,15421.900390625,58843500
2017-05-30,15372.400390625,161106700
2017-05-31,15349.900390625,374619900
2017-06-01,15469.900390625,224803200
2017-06-02,15442.7998046875,179056300
2017-06-05,15409.7998046875,143408600
2017-06-06,15464.599609375,213763200
2017-06-07,15372.099609375,217926200
2017-06-08,15423.099609375,196666200
2017-06-09,15473.2001953125,234931800
2017-06-12,15383.7998046875,213191100
2017-06-13,15379.7998046875,222944700
2017-06-14,15170.099609375,273769200
2017-06-15,15160.400390625,221256000
2017-06-16,15192.5,858888100
2017-06-19,15266,187796400
2017-06-20,15149.599609375,187916100
2017-06-21,15148.5,199182100
2017-06-22,15219.900390625,208581200
2017-06-23,15319.599609375,175042300
2017-06-26,15316,149923100
2017-06-27,15281.2001953125,193094700
2017-06-28,15355.599609375,170469800
2017-06-29,15213.400390625,188734400
2017-06-30,15182.2001953125,183600900
2017-07-04,15130.599609375,65948600
2017-07-05,15153.099609375,172451300
2017-07-06,15078,188841800
2017-07-07,15027.2001953125,162697700
2017-07-10,15105.2998046875,149962300
2017-07-11,15149.099609375,160577000
2017-07-12,15144,177893800
2017-07-13,15135,155218700
2017-07-14,15174.7998046875,132014200
2017-07-17,15165.400390625,132561400
2017-07-18,15149.599609375,140094100
2017-07-19,15244.7001953125,144505500
2017-07-20,15264.599609375,141898800
2017-07-21,15183.099609375,160563700
2017-07-24,15128.7001953125,114964000
2017-07-25,15202.400390625,166052000
2017-07-26,15171.400390625,181482200
2017-07-27,15191.400390625,194483800
2017-07-28,15128.7001953125,155324100
2017-07-31,15143.900390625,159564700
2017-08-01,15202.099609375,166680200
2017-08-02,15265.599609375,175729500
2017-08-03,15192,171140900
2017-08-04,15258,154934900
2017-08-08,15256.400390625,174770100
2017-08-09,15217.2998046875,175106700
2017-08-10,15074.2998046875,195717700
2017-08-11,15033.400390625,164547500
2017-08-14,15119.900390625,148058200
2017-08-15,15097.7998046875,139781900
2017-08-16,15082.2001953125,168476300
2017-08-17,15033.599609375,134595600
2017-08-18,14952.2998046875,150614800
2017-08-21,14951.900390625,119609300
2017-08-22,14985,108993300
2017-08-23,15063.2001953125,129635800
2017-08-24,15076.2001953125,121823000
2017-08-25,15056,121605000
2017-08-28,15052,126788200
2017-08-29,15082.7001953125,170355000
2017-08-30,15133.099609375,155345300
2017-08-31,15211.900390625,195360400
2017-09-01,15191.599609375,129936400
2017-09-05,15090.2001953125,177248000
